"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"306" 20 13 46192.31405577 -238.644288479059
"307" 20 14 46192.31405577 -1701.63910581067
"308" 20 15 46192.31405577 -1944.51558270865
"309" 20 16 46192.31405577 3697.5338868769
"310" 20 17 46192.31405577 2454.32104033313
"311" 20 7 49341.07438677 -3169.49280089871
"312" 20 9 49341.07438677 -3138.797846524
"313" 20 10 49341.07438677 -3005.05384824625
"314" 20 11 49341.07438677 -1339.49807775148
"315" 20 12 49341.07438677 -747.281742827378
"316" 20 13 49341.07438677 318.464055339566
"317" 20 14 49341.07438677 -988.645161254504
"318" 20 15 49341.07438677 -1220.97096860718
"319" 20 16 49341.07438677 4189.88189565349
"320" 20 17 49341.07438677 3184.81383618621
"321" 20 7 52489.83471777 -3325.89246289021
"322" 20 9 52489.83471777 -3276.91579466323
"323" 20 10 52489.83471777 -3219.89332128646
"324" 20 11 52489.83471777 -1672.13468819499
"325" 20 12 52489.83471777 -1215.19315643886
"326" 20 13 52489.83471777 -307.09462922487
"327" 20 14 52489.83471777 -1566.98489365409
"328" 20 15 52489.83471777 -1672.10006200914
"329" 20 16 52489.83471777 3641.07366369129
"330" 20 17 52489.83471777 2689.20518243871
"331" 20 7 58787.35537977 -2935.4504919367
"332" 20 9 58787.35537977 -3101.1827737799
"333" 20 10 58787.35537977 -3009.29655480509
"334" 20 11 58787.35537977 -1552.74294907266
"335" 20 12 58787.35537977 -1163.44961477193
"336" 20 13 58787.35537977 -395.488870002766
"337" 20 14 58787.35537977 -1535.18019736591
"338" 20 15 58787.35537977 -1568.34065311167
"339" 20 16 58787.35537977 3264.8828230807
"340" 20 17 58787.35537977 2228.45030711606
"341" 20 7 67184.04959577 -4033.72243228281
"342" 20 9 67184.04959577 -4450.37982044586
"343" 20 10 67184.04959577 -4412.03471337607
"344" 20 11 67184.04959577 -3091.12611742346
"345" 20 12 67184.04959577 -2749.41588763261
"346" 20 13 67184.04959577 -1830.90102696411
"347" 20 14 67184.04959577 -2737.79045546531
"348" 20 15 67184.04959577 -2656.24419894262
"349" 20 16 67184.04959577 2121.58631771188
"350" 20 17 67184.04959577 1254.59714356965
"351" 20 7 96572.47935177 1765.26369114352
"352" 20 9 96572.47935177 1866.71511888406
"353" 20 10 96572.47935177 2225.46167504287
"354" 20 11 96572.47935177 3164.05892444735
"355" 20 12 96572.47935177 3234.57221466462
"356" 20 13 96572.47935177 2883.46770033718
"357" 20 14 96572.47935177 1508.52493570153
"358" 20 15 96572.47935177 1365.77688878873
"359" 20 16 96572.47935177 5421.25414072062
"360" 20 17 96572.47935177 5230.45569504449
