"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"203" 20 10 21002.23140777 -0.163622433782821
"204" 20 11 21002.23140777 -0.12904118499617
"205" 20 12 21002.23140777 -0.179580146282165
"206" 20 13 21002.23140777 -0.131742453462678
"207" 20 14 21002.23140777 -0.145749357510603
"208" 20 15 21002.23140777 -0.202363122760675
"209" 20 16 21002.23140777 -0.161193649948044
"210" 20 17 21002.23140777 -0.226409528064407
"211" 20 7 24675.78512727 -0.21500561138181
"212" 20 9 24675.78512727 -0.125729567287996
"213" 20 10 24675.78512727 -0.153822232124726
"214" 20 11 24675.78512727 -0.11068520864354
"215" 20 12 24675.78512727 -0.154812779379938
"216" 20 13 24675.78512727 -0.107722724050849
"217" 20 14 24675.78512727 -0.135848322813464
"218" 20 15 24675.78512727 -0.197791754793691
"219" 20 16 24675.78512727 -0.155000744409513
"220" 20 17 24675.78512727 -0.224220782737403
"221" 20 7 27089.83471437 -0.239546724228383
"222" 20 9 27089.83471437 -0.141002391580107
"223" 20 10 27089.83471437 -0.166564184774513
"224" 20 11 27089.83471437 -0.113457614277632
"225" 20 12 27089.83471437 -0.160331614370968
"226" 20 13 27089.83471437 -0.113420804953875
"227" 20 14 27089.83471437 -0.152356675663186
"228" 20 15 27089.83471437 -0.215315973352063
"229" 20 16 27089.83471437 -0.164560319483936
"230" 20 17 27089.83471437 -0.235630611914717
"231" 20 7 29398.92562377 -0.258920392432034
"232" 20 9 29398.92562377 -0.16777133427121
"233" 20 10 29398.92562377 -0.195400455717561
"234" 20 11 29398.92562377 -0.135604449708768
"235" 20 12 29398.92562377 -0.178016072033158
"236" 20 13 29398.92562377 -0.133107344404014
"237" 20 14 29398.92562377 -0.164875814557218
"238" 20 15 29398.92562377 -0.22483989658762
"239" 20 16 29398.92562377 -0.171798746646679
"240" 20 17 29398.92562377 -0.241924735028761
"241" 20 7 31498.09917777 -0.250421933084617
"242" 20 9 31498.09917777 -0.158384953294074
"243" 20 10 31498.09917777 -0.187030338067188
"244" 20 11 31498.09917777 -0.120107475635732
"245" 20 12 31498.09917777 -0.163118502842544
"246" 20 13 31498.09917777 -0.117052665150445
"247" 20 14 31498.09917777 -0.154070369857538
"248" 20 15 31498.09917777 -0.210752186354746
"249" 20 16 31498.09917777 -0.164804367965578
"250" 20 17 31498.09917777 -0.233346686192157
"251" 20 7 33597.27273177 -0.255571069886317
"252" 20 9 33597.27273177 -0.171306719687151
"253" 20 10 33597.27273177 -0.202396031775478
"254" 20 11 33597.27273177 -0.142776588993312
"255" 20 12 33597.27273177 -0.191656911145068
"256" 20 13 33597.27273177 -0.142024701837772
"257" 20 14 33597.27273177 -0.173574896953019
"258" 20 15 33597.27273177 -0.228718614592865
"259" 20 16 33597.27273177 -0.181250472490382
"260" 20 17 33597.27273177 -0.252552764282804
"261" 20 7 36179.25620319 -0.251145158524419
"262" 20 9 36179.25620319 -0.152773681204707
"263" 20 10 36179.25620319 -0.185413268183549
"264" 20 11 36179.25620319 -0.126363630353395
"265" 20 12 36179.25620319 -0.175849676626983
"266" 20 13 36179.25620319 -0.121833936543316
"267" 20 14 36179.25620319 -0.156481590670173
"268" 20 15 36179.25620319 -0.206251546504832
