"outcome.correct.ans.per.second","outcome.num.correct.ans","outcome.response.time","treatment","live.paycheck.by.paycheck","caloric.crunch","liquidity.constrained","financial.hardship","current.income","pay.day.amount.fraction.of.income","age","male","married","divorced","widowed","white","black","hispanic","working","unemployed","disabled","retired","household.size","household.head","children.in.household","metropolitan.area","household.income","education"
0.37362671738306,47,125.794001909701,1,0,0,1,0,754,1,74,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,10000,1
0.646900262894389,48,74.2000007624612,0,0,0,0,1,412,0.76,23,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,10000,2
0.484480495489053,45,92.8829961556559,0,1,1,1,1,1103,1,58,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,15000,1
0.601199690009702,44,73.1869971511294,1,0,0,0,0,1800,0.5,49,0,0,1,0,1,0,0,1,0,0,0,5,1,1,0,30000,4
0.496335527612482,47,94.6940071489214,0,1,1,1,1,1037,1,59,1,1,0,0,1,0,0,0,0,1,0,2,1,0,1,5000,1
0.479210422864756,47,98.0780003052322,0,0,0,0,1,4200,0.5,27,0,1,0,0,0,1,0,1,0,0,0,2,1,0,1,35000,4
0.556012174447981,46,82.732001409267,1,0,1,1,1,3000,0.5,26,0,0,0,0,1,0,0,1,0,0,0,3,1,1,1,15000,3
0.566471932673113,48,84.735001385671,0,0,0,0,0,2457,1,25,0,1,0,0,1,0,0,1,0,0,0,2,1,0,1,35000,4
0.530797296669833,48,90.4300008706658,0,1,1,1,1,2900,0.31,55,0,1,0,0,1,0,0,0,0,0,1,3,1,0,1,35000,2
0.364797092214258,36,98.684997134944,0,0,0,1,1,10,1,29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5000,3
0.444732342086326,46,103.43299923771,0,1,1,1,1,802,1,67,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,25000,3
0.622912570717336,47,75.4520011466064,0,0,0,1,0,1400,1,29,0,1,0,0,1,0,0,0,0,0,0,4,1,1,1,35000,4
0.361861502112812,43,118.82999365485,1,0,1,1,0,2898,0.54,74,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,40000,3
0.390933695111719,47,120.22499106036,0,0,1,0,0,3260,0.56,86,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,25000,3
0.484425161305517,43,88.7650011492296,1,0,0,0,1,8,0.25,32,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,15000,2
0.478157389438198,47,98.2939949024353,1,1,1,1,1,1187,1,67,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,25000,2
0.471883619122385,48,101.719996318734,0,0,1,0,1,2200,0.5,31,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,20000,3
0.473414784759995,48,101.391003291827,0,0,0,0,0,1043,1,66,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,30000,3
0.66469103087699,48,72.2140028528278,1,1,1,1,0,721,1,31,0,1,0,0,1,0,0,0,0,0,0,5,1,1,0,10000,2
0.520902576029989,47,90.2280045497301,1,1,0,1,0,1750,0.5,30,1,0,0,0,1,0,0,1,0,0,0,2,1,0,1,30000,4
0.57638960378754,48,83.277005144758,1,0,1,1,1,250,1,31,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,25000,4
0.49303324015781,46,93.2999973496236,1,0,0,0,0,200,1,61,1,0,1,0,1,0,0,0,1,0,0,2,1,0,1,5000,3
0.454155532167193,45,99.0849980077612,1,0,1,1,1,1000,0.5,29,0,1,0,0,1,0,0,1,0,0,0,4,0,1,1,40000,3
0.426288397220552,47,110.253997778136,1,0,0,1,1,400,0.5,23,0,0,0,0,0,0,1,0,1,0,0,2,1,0,1,20000,3
0.452388619941691,45,99.4719982253313,1,1,1,1,1,740,1,55,0,0,1,0,1,0,0,0,0,1,0,2,1,1,1,10000,3
0.433271574024524,47,108.476998764151,1,1,0,0,0,946,1,79,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,10000,2
0.42054070279182,46,109.382991217312,0,1,1,1,1,1220,1,72,0,0,1,0,1,0,0,0,0,0,1,4,1,1,1,40000,3
0.349502170603714,47,134.476990282534,1,1,0,0,1,3070,0.58,67,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,40000,3
